	Date	Account	Action	Security	Category	Memo	Quote/Price	Shares	Cash	Amount�Invested	Cash+Invest	
	3/9/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	3/23/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	4/6/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	4/20/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	5/4/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	5/18/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	6/1/2010	TSP	XIn	-Cash-	[Checking - Alliant]				838.04		838.04	
	6/15/2010	TSP	XIn	-Cash-	[Checking - Alliant]				838.04		838.04	
	6/29/2010	TSP	XIn	-Cash-	[Checking - Alliant]				858.36		858.36	
	7/13/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	7/27/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	8/10/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	8/24/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	9/7/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	9/21/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	10/5/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	10/19/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	11/2/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	11/16/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	11/30/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			858.36		858.36	
	12/14/2010	TSP	XIn	-Cash-	[Checking - Alliant]				858.36		858.36	
	12/28/2010	TSP	XIn	-Cash-	[Checking - Alliant]				848.36		848.36	
	1/11/2011	TSP	XIn	-Cash-	[Checking - Alliant]				858.36		858.36	
	1/25/2011	TSP	XIn	-Cash-	[Checking - Alliant]				858.36		858.36	
	2/8/2011	TSP	XIn	-Cash-	[Checking - Alliant]				862.63		862.63	
	2/22/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			861.92		861.92	
	3/8/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			861.92		861.92	
	3/22/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SAL  ID: 3121036005CO: TD03 TREAS  312 %%			861.92		861.92	
	4/5/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SAL  ID: 3121036005CO: TD03 TREAS  312 %%			861.92		861.92	
	4/19/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SAL  ID: 3121036005CO: TD03 TREAS  312 %%			861.92		861.92	
	5/3/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS 312 : FED SAL  ID: 3121036005CO: TD03 TREAS 312 %% A			861.92		861.92	
	5/17/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS 312 : FED SAL  ID: 3121036005CO: TD03 TREAS 312 %% A			861.92		861.92	
	5/31/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	6/14/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	6/28/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	7/12/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	7/26/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	8/9/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	8/23/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	9/6/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	9/20/2011	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS 312 : FED SAL  ID: 3121036005CO: TD03 TREAS 312 %% A			861.92		861.92	
	10/4/2011	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			861.92		861.92	
	10/18/2011	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			861.92		861.92	
	11/1/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	11/15/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	11/29/2011	TSP	XIn	-Cash-	[Checking - Alliant]				861.92		861.92	
	12/13/2011	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			861.92		861.92	
	12/27/2011	TSP	XIn	-Cash-	[Checking - Alliant]				865.56		865.56	
	1/10/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			875.56		875.56	
	1/24/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	2/7/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	2/21/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	3/2/2012	TSP	XIn	-Cash-	[Checking - Alliant]				902.28		902.28	
	3/20/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	4/3/2012	TSP	XIn	-Cash-	[Checking - Alliant]				902.28		902.28	
	4/17/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	5/1/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 3121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	5/15/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 9121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	5/29/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 312 : FED SAL  ID: 9121036005CO: DOT4 TREAS 312 %% A			902.28		902.28	
	6/12/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	6/26/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	7/10/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	7/24/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	8/7/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	8/21/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	9/4/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	9/18/2012	TSP	XIn	-Cash-	[Checking - Alliant]				902.28		902.28	
	10/2/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	10/16/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	10/30/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL  ID: 9101036009CO: DOT4 TREAS 310 %% A			902.28		902.28	
	11/13/2012	TSP	XIn	-Cash-	[Checking - Alliant]				902.28		902.28	
	11/27/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			902.28		902.28	
	12/11/2012	TSP	XIn	-Cash-	[Checking - Alliant]				902.28		902.28	
	12/24/2012	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			892.28		892.28	
	1/8/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			922.28		922.28	
	1/22/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			922.28		922.28	
	2/5/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			922.28		922.28	
	2/19/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			927.03		927.03	
	3/5/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			926.24		926.24	
	3/19/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			401.24		401.24	
	4/2/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			401.24		401.24	
	4/16/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	4/30/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	5/14/2013	TSP	XIn	-Cash-	[Checking - Alliant]				376.24		376.24	
	5/28/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	6/11/2013	TSP	XIn	-Cash-	[Checking - Alliant]				376.24		376.24	
	6/25/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	7/9/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	7/23/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	8/6/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	8/20/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	9/3/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	9/17/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	10/1/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	10/15/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			275.75		275.75	
	10/29/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			396.34		396.34	
	11/12/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	11/26/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	12/10/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	12/20/2013	TSP	Cash	-Cash-	Other Inc	earnings adjustment			5.08		5.08	
	12/24/2013	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			459.80		459.80	
	1/7/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	1/21/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			376.24		376.24	
	2/4/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			432.76		432.76	
	2/18/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			432.76		432.76	
	3/4/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	3/18/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	4/1/2014	TSP	XIn	-Cash-	[Checking - Alliant]				932.76		932.76	
	4/15/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	4/29/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	5/13/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	5/27/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	6/10/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	6/24/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	7/8/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	7/22/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	8/5/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	8/19/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	9/2/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	9/16/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	9/30/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	10/14/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	10/28/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	11/10/2014	TSP	XIn	-Cash-	[Checking - Alliant]	DOT4 TREAS 310 : FED SAL ID: 9101036009CO: DOT4 TREAS 310 %% AC			932.76		932.76	
	11/25/2014	TSP	XIn	-Cash-	[Checking - Alliant]				932.76		932.76	
	12/9/2014	TSP	XIn	-Cash-	[Checking - Alliant]				932.76		932.76	
	12/23/2014	TSP	XIn	-Cash-	[Checking - Alliant]				882.76		882.76	
	1/6/2015	TSP	XIn	-Cash-	[Checking - Alliant]				952.76		952.76	
	1/20/2015	TSP	XIn	-Cash-	[Checking - Alliant]				952.76		952.76	
	2/3/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	2/17/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	3/3/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	3/17/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	3/31/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	4/14/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	4/28/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	5/12/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	5/26/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	6/9/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	6/23/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	7/7/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	7/21/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	8/4/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	8/18/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	9/1/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	9/15/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	9/29/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	10/13/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	10/27/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	11/10/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	11/24/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	12/8/2015	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	12/22/2015	TSP	XIn	-Cash-	[Checking - Alliant]				889.48		889.48	
	1/5/2016	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	1/19/2016	TSP	XIn	-Cash-	[Checking - Alliant]				959.48		959.48	
	2/2/2016	TSP	XIn	-Cash-	[Checking - Alliant]				966.20		966.20	
	2/16/2016	TSP	XIn	-Cash-	[Checking - Alliant]				966.20		966.20	
	3/1/2016	TSP	XIn	-Cash-	[Checking - Alliant]				966.20		966.20	
	3/15/2016	TSP	XIn	-Cash-	[Checking - Alliant]				716.20		716.20	
	3/29/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	4/12/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	4/26/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	5/10/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	5/24/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	6/7/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	6/21/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	7/5/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	7/19/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	8/2/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	8/16/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	8/30/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	9/13/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	9/27/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	10/11/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	10/25/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	11/8/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	11/22/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	12/6/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	12/20/2016	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	1/3/2017	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	1/17/2017	TSP	XIn	-Cash-	[Checking - Alliant]				271.20		271.20	
	1/31/2017	TSP	XIn	-Cash-	[Checking - Alliant]				283.32		283.32	
